time_stamp,model_name,hard_test_ACC,param_test_ACC,iqr_test_ACC
17-06-2022 13:51:11,1.0,True,True,True
01-07-2022 23:35:31,"            time_stamp  version  batch metric     score
0  2022-06-03 18:01:55      1.0      1    ACC  0.841796
1  2022-06-03 18:04:28      1.0      1    ACC  0.841796
2  2022-06-17 11:57:52      1.0      1    ACC  0.842221
3  2022-06-17 11:58:16      1.0      1    ACC  0.842221
4  2022-06-17 11:58:27      1.0      3    ACC  0.842221
5  2022-06-17 11:58:46      1.0      4    ACC  0.842221
6  2022-06-17 12:03:07      1.0      5    ACC  0.842221
7  2022-06-17 12:03:44      1.0      5    ACC  0.842221
8  2022-06-17 12:22:24      1.0      5    ACC  0.842221
9  2022-06-17 12:34:15      1.0      5    ACC  0.842221
10 2022-06-17 12:47:10      1.0      5    ACC  0.842221
11 2022-06-17 13:03:19      1.0      2    ACC  0.842221
12 2022-06-17 13:03:42      1.0      3    ACC  0.842221
13 2022-06-17 13:16:25      1.0      4    ACC  0.842221
14 2022-06-17 13:18:02      1.0      5    ACC  0.842221
15 2022-06-17 13:19:30      1.0      5    ACC  0.842221
16 2022-06-17 13:20:25      1.0      2    ACC  0.842221
17 2022-06-17 13:41:54      1.0      6    ACC  0.332011
18 2022-06-17 15:11:43      1.0      6    ACC  0.332011
19 2022-07-01 21:39:17      1.0      6    ACC  0.833233
20 2022-07-01 21:39:41      1.0      6    ACC  0.833233
21 2022-07-01 21:39:52      1.0      6    ACC  0.833233
22 2022-07-01 21:42:04      1.0      5    ACC  0.834230
23 2022-07-01 21:42:14      1.0      5    ACC  0.834230
24 2022-07-01 21:42:25      1.0      5    ACC  0.834230
25 2022-07-01 21:43:49      1.0      5    ACC  0.834230",False,False,False
01-07-2022 23:37:05,"            time_stamp  version  batch metric     score
0  2022-06-03 18:01:55      1.0      1    ACC  0.841796
1  2022-06-03 18:04:28      1.0      1    ACC  0.841796
2  2022-06-17 11:57:52      1.0      1    ACC  0.842221
3  2022-06-17 11:58:16      1.0      1    ACC  0.842221
4  2022-06-17 11:58:27      1.0      3    ACC  0.842221
5  2022-06-17 11:58:46      1.0      4    ACC  0.842221
6  2022-06-17 12:03:07      1.0      5    ACC  0.842221
7  2022-06-17 12:03:44      1.0      5    ACC  0.842221
8  2022-06-17 12:22:24      1.0      5    ACC  0.842221
9  2022-06-17 12:34:15      1.0      5    ACC  0.842221
10 2022-06-17 12:47:10      1.0      5    ACC  0.842221
11 2022-06-17 13:03:19      1.0      2    ACC  0.842221
12 2022-06-17 13:03:42      1.0      3    ACC  0.842221
13 2022-06-17 13:16:25      1.0      4    ACC  0.842221
14 2022-06-17 13:18:02      1.0      5    ACC  0.842221
15 2022-06-17 13:19:30      1.0      5    ACC  0.842221
16 2022-06-17 13:20:25      1.0      2    ACC  0.842221
17 2022-06-17 13:41:54      1.0      6    ACC  0.332011
18 2022-06-17 15:11:43      1.0      6    ACC  0.332011
19 2022-07-01 21:39:17      1.0      6    ACC  0.833233
20 2022-07-01 21:39:41      1.0      6    ACC  0.833233
21 2022-07-01 21:39:52      1.0      6    ACC  0.833233
22 2022-07-01 21:42:04      1.0      5    ACC  0.834230
23 2022-07-01 21:42:14      1.0      5    ACC  0.834230
24 2022-07-01 21:42:25      1.0      5    ACC  0.834230
25 2022-07-01 21:43:49      1.0      5    ACC  0.834230",False,False,False
